,Ravenclaw,Slytherin,Gryffindor,Hufflepuff,Mean,Std
0,-0.9899679511204938,-1.3799694803701505,-1.2402328153965825,-0.7216976865444287,49634.57024265645,16679.806035559308
1,0.042178426226303814,-0.01482003018677223,-0.08517980692983608,0.03530176060566044,1.1410195296768046,5.2196819935318235
2,0.29518901990612917,-0.6294243345963272,-0.5954191912731667,0.7691495404515716,-0.38786349744178633,5.212793707585853
3,0.6265032198604424,0.5361643928075253,-0.22486125158114995,-1.0048991902599396,3.1539096732863547,4.155300897977581
4,0.21743789738772298,-0.9604095410956761,0.19283826195034615,0.5420269811375544,-224.58991486346417,486.3448396520666
5,0.837615404062855,-0.2220894967340511,-0.1490235052201206,-0.613869248620219,495.74797005915786,106.28516457845275
6,0.7681886747632447,-0.2437388577932104,0.5614962385089639,-0.8281902981468725,2.9630946151165936,4.425774656123574
7,0.13693871471466523,0.11413779916532855,-0.5201582584234603,0.43743015869481816,1030.0969463871306,44.12511586678024
8,0.14250240555713137,0.17889251682089605,-0.5920456858409906,0.43484221630459946,5.950372992780089,3.14785425039337
9,0.048200308285733434,0.3515967551004823,-0.2875444864987499,-0.3036089286571642,-243.3744090125,8.783639876017117
10,0.8298199568309262,-0.35616610727024484,-0.3491216958866416,-0.12637999326619914,21.9580125,97.63160206806158
11,-0.03502392082330284,-0.3483051165534498,0.6758370264106259,-0.2434767755740228,,
